Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"Custom Modular Chassis Lid","","Upper lid enclosure, custom 3D-printed modular chassis component. Houses the 7-inch IPS primary display and the small round HUD display.","mechanical","3d_printed",1,30.00,30.00,"https://www.amazon.com/s?k=carbon+fiber+PLA+filament"
"Baofeng Radio Bay Insert","","Custom 3D-printed modular insert for the side of the chassis, designed to snugly hold the main body of the Baofeng UV-5R radio with controls exposed.","mechanical","3d_printed",1,8.00,8.00,"https://www.amazon.com/s?k=matte+olive+drab+filament"
"External Port Panel Insert","","Custom 3D-printed modular insert for the side of the chassis, integrating the heavy-duty 5V power input, ruggedized USB ports, and the multi-spectrum LED array.","mechanical","3d_printed",1,7.00,7.00,"https://www.amazon.com/s?k=matte+olive+drab+filament"
"Raspberry Pi Mount","Raspberry Pi Mount","Internal mount for securing the Raspberry Pi 4B within the main chassis base.","mechanical","3d_printed",1,2.00,2.00,"https://www.amazon.com/s?k=black+PETG+filament"
"LiPo Battery Tray","LiPo Battery Tray","Custom tray to securely hold the 50,000 mAh LiPo battery pack inside the chassis base.","mechanical","3d_printed",1,5.00,5.00,"https://www.amazon.com/s?k=black+PETG+filament"
"Power Module Mount Plate","Power Module Mount Plate","Mounting plate for the LiPo charge controller and main 5V DC-DC converter.","mechanical","3d_printed",1,3.00,3.00,"https://www.amazon.com/s?k=black+PETG+filament"
"7-inch LCD Bezel/Frame","","Bezel to secure and frame the 7-inch IPS LCD screen in the chassis lid.","mechanical","3d_printed",1,4.00,4.00,"https://www.amazon.com/s?k=black+PETG+filament"
"E-Ink Display Bezel/Frame","","Bezel to secure and frame the 4.2-inch E-Ink display on the chassis bottom panel.","mechanical","3d_printed",1,2.50,2.50,"https://www.amazon.com/s?k=black+PETG+filament"
"Round HUD Display Mount","","Small mount for the 1.28-inch round LCD screen near the top edge of the lid.","mechanical","3d_printed",1,1.50,1.50,"https://www.amazon.com/s?k=black+PETG+filament"
"Control Deck Panel","","Front panel section on the chassis base for mounting the rotary encoder and toggle switches.","mechanical","3d_printed",1,6.00,6.00,"https://www.amazon.com/s?k=matte+olive+drab+filament"
"GPS Antenna Dome Shroud","","Protruding, domed cover for the Beitian GPS antenna module, designed for outdoor exposure.","mechanical","3d_printed",1,3.00,3.00,"https://www.amazon.com/s?k=black+PETG+filament"
"Sensor Window Frame","","Small frame to hold a clear protective window over the BME280/BNO055 sensors.","mechanical","3d_printed",1,1.00,1.00,"https://www.amazon.com/s?k=clear+PETG+filament"
"LED Array Housing","","Housing for the cluster of high-power White, UV, IR LEDs, integrating with the heatsink and port panel.","mechanical","3d_printed",1,4.00,4.00,"https://www.amazon.com/s?k=black+PETG+filament"
"Charge Status LED Panel Frame","","Frame for flush mounting the battery charge status LED panel.","mechanical","3d_printed",1,1.00,1.00,"https://www.amazon.com/s?k=black+PETG+filament"
"RTL-SDR Antenna Mount","","External mount point for the RTL-SDR telescopic antenna, providing a secure connection.","mechanical","3d_printed",1,1.50,1.50,"https://www.amazon.com/s?k=black+PETG+filament"
"Heavy-Duty Waterproof Hinges","Stainless Steel Marine Grade Hinges","Robust, waterproof hinges for connecting the chassis base and lid.","mechanical","structural",2,15.00,30.00,"https://www.amazon.com/s?k=heavy+duty+waterproof+stainless+steel+hinges"
"Heavy-Duty Waterproof Latches","Stainless Steel Toggle Latches with Hasp","Secure, waterproof latches for firmly closing the chassis lid.","mechanical","mechanism",2,10.00,20.00,"https://www.amazon.com/s?k=heavy+duty+waterproof+toggle+latches"
"Chassis Sealing Gasket","Custom Cut EPDM Foam Gasket","Custom-cut gasket to ensure a waterproof seal between the chassis base and lid.","mechanical","misc",1,5.00,5.00,"https://www.amazon.com/s?k=EPDM+foam+gasket+sheet"
"M3 Stainless Steel Bolt","M3x10mm Stainless Steel Hex Socket Cap Screws","General purpose fasteners for assembling chassis modules and mounting components.","mechanical","misc",30,0.15,4.50,"https://www.amazon.com/s?k=M3x10mm+stainless+steel+socket+cap+screws"
"M3 Stainless Steel Nut","M3 Stainless Steel Hex Nuts","For use with M3 bolts.","mechanical","misc",30,0.05,1.50,"https://www.amazon.com/s?k=M3+stainless+steel+hex+nuts"
"M2 Brass Standoff","M2x10mm Brass Standoffs","For mounting PCBs (Raspberry Pi, power boards) within the chassis.","mechanical","misc",12,0.30,3.60,"https://www.amazon.com/s?k=M2x10mm+brass+standoffs"
"Machined Aluminum Rotary Knob","Machined Aluminum Rotary Encoder Knob","High-quality, tactile machined aluminum knob for the rotary encoder.","mechanical","misc",1,10.00,10.00,"https://www.amazon.com/s?k=machined+aluminum+rotary+encoder+knob"
"Toggle Switch Safety Cover","Waterproof Toggle Switch Safety Cover","Protective covers for the heavy-duty toggle switches.","mechanical","misc",2,3.00,6.00,"https://www.amazon.com/s?k=waterproof+toggle+switch+safety+cover"
"LED Array Heatsink","Aluminum LED Heatsink","Aluminum heatsink to dissipate heat from the high-power LED array.","mechanical","misc",1,8.00,8.00,"https://www.amazon.com/s?k=led+array+heatsink"
"Sensor Protective Window","Acrylic Sheet 2mm","Small, clear acrylic pane to protect the environmental and IMU sensors.","mechanical","misc",1,1.00,1.00,"https://www.amazon.com/s?k=acrylic+sheet+2mm+clear"
